year,state,age,total_marriages,marriage_rate,actual_population,marriage_rate_per_1000_population
2017,Pulau Pinang,50-54,253,38.06,98900,2.558139535
2019,Kedah,45-49,601,110,117400,5.119250426
2017,Pulau Pinang,55-59,139,23.95,86600,1.605080831
2019,Kedah,50-54,447,76.4,113500,3.938325991
2017,Pulau Pinang,60-64,66,12.5,73000,0.904109589
2019,Kedah,55-59,311,63.4,105600,2.945075758
2017,Pulau Pinang,65+,60,4.02,141300,0.42462845
2019,Kedah,60-64,246,47.8,89400,2.751677852
2017,Pulau Pinang,all,18592,41.04,1744100,10.65993922
2019,Kedah,65+,247,14.3,173000,1.427745665
2017,Sabah,< 20,1335,2.04,1369800,0.974594831
2020,Kedah,all,31470,52.8,2131400,14.76494323
2017,Sabah,20-24,7018,50.12,475000,14.77473684
2020,Kedah,< 20,753,2.2,726300,1.036761669
2017,Sabah,25-29,10463,109.84,479500,21.82064651
2020,Kedah,20-24,8564,99.5,219700,38.98042786
2017,Sabah,30-34,5225,123.93,369400,14.14455874
2020,Kedah,25-29,13616,323.4,196700,69.22216573
2017,Sabah,35-39,2144,95.61,292100,7.339952071
2020,Kedah,30-34,4294,259.5,154800,27.73901809
2017,Sabah,40-44,914,68.01,218500,4.183066362
2020,Kedah,35-39,1723,185.2,132800,12.97439759
2017,Sabah,45-49,505,53.7,178600,2.827547592
2020,Kedah,40-44,807,121.6,117900,6.844783715
2017,Sabah,50-54,337,43.45,149600,2.252673797
2020,Kedah,45-49,537,98,113300,4.739629303
2017,Sabah,55-59,206,30.98,118100,1.744284505
2020,Kedah,50-54,371,63.7,109700,3.381950775
2017,Sabah,60-64,96,15.7,82000,1.170731707
2020,Kedah,55-59,297,55.6,103000,2.883495146
2017,Sabah,65+,70,4.8,123400,0.56726094
2020,Kedah,60-64,204,35.4,88800,2.297297297
2017,Sabah,all,28313,26.94,3855900,7.342773412
2020,Kedah,65+,304,16.4,168500,1.804154303
2017,Sarawak,< 20,2473,5.58,922400,2.681049436
2021,Kedah,all,34748,57.8,2151700,16.14909142
2017,Sarawak,20-24,8713,111.95,287000,30.35888502
2021,Kedah,< 20,760,2.1,718100,1.058348419
2017,Sarawak,25-29,10398,194.89,269200,38.62555721
2021,Kedah,20-24,9657,112.3,217700,44.35920992
2017,Sarawak,30-34,4725,192.51,218500,21.62471396
2021,Kedah,25-29,14974,356.7,203800,73.47399411
2017,Sarawak,35-39,1978,142.62,183000,10.80874317
2021,Kedah,30-34,4689,281.9,159400,29.41656211
2017,Sarawak,40-44,912,97.15,166400,5.480769231
2021,Kedah,35-39,1903,202.4,135700,14.02358143
2017,Sarawak,45-49,495,68.29,159200,3.109296482
2021,Kedah,40-44,933,139.1,119100,7.833753149
2017,Sarawak,50-54,271,42.6,144600,1.874135546
2021,Kedah,45-49,590,102.4,113500,5.198237885
2017,Sarawak,55-59,130,23.93,123500,1.052631579
2021,Kedah,50-54,418,71.8,110000,3.8
2017,Sarawak,60-64,106,18.05,99900,1.061061061
2021,Kedah,55-59,326,57.4,104000,3.134615385
2017,Sarawak,65+,18,0.9,192700,0.093409445
2021,Kedah,60-64,222,40.2,91200,2.434210526
2017,Sarawak,all,30219,43.11,2766300,10.92397788
2021,Kedah,65+,276,14.8,179200,1.540178571
2017,Selangor,< 20,1324,1.4,1962900,0.674512201
2022,Kedah,all,34352,57.1,2163100,15.88091165
2017,Selangor,20-24,14687,75.13,564700,26.00850009
2022,Kedah,< 20,760,2.2,710900,1.069067379
2017,Selangor,25-29,31469,209.45,703400,44.73841342
2022,Kedah,20-24,8952,104,213700,41.8905007
2017,Selangor,30-34,14464,178.4,712500,20.30035088
2022,Kedah,25-29,14277,342.1,211200,67.59943182
2017,Selangor,35-39,5730,135.79,569600,10.05969101
2022,Kedah,30-34,4908,300,165400,29.67351874
2017,Selangor,40-44,2700,111.02,443700,6.085192698
2022,Kedah,35-39,2120,227.3,138700,15.28478731
2017,Selangor,45-49,1474,85.16,370700,3.976261128
